acupoint,intersect_meridian
列缺穴,手太陰肺經
列缺穴,任脈
迎香穴,手陽明大腸經
迎香穴,足陽明胃經
承泣穴,足陽明胃經
承泣穴,任脈
巨髎穴,足陽明胃經
巨髎穴,手陽明大腸經
地倉穴,足陽明胃經
地倉穴,手陽明大腸經
地倉穴,任脈
下關穴,足陽明胃經
下關穴,足少陽膽經
頭維穴,足陽明胃經
頭維穴,足少陽膽經
人迎穴,足陽明胃經
人迎穴,足少陽膽經
三陰交穴,足太陰脾經
三陰交穴,足厥陰肝經
三陰交穴,足少陰腎經
府舍穴,足太陰脾經
府舍穴,足厥陰肝經
府舍穴,足少陰腎經
府舍穴,足陽明胃經
秉風穴,手太陽小腸經
秉風穴,手陽明大腸經
秉風穴,手少陽三焦經
秉風穴,足少陽膽經
顴髎穴,手太陽小腸經
顴髎穴,手少陽三焦經
聽宮穴,手少陽三焦經
聽宮穴,足少陽膽經
聽宮穴,手太陽小腸經
睛明穴,足太陽膀胱經
睛明穴,督脈
大杼穴,足太陽膀胱經
大杼穴,手太陽小腸經
風門穴,足太陽膀胱經
風門穴,督脈
上髎穴,足太陽膀胱經
上髎穴,足少陽膽經
天池穴,手厥陰心包經
天池穴,足少陽膽經
天髎穴,手少陽三焦經
天髎穴,足少陽膽經
翳風穴,手少陽三焦經
翳風穴,足少陽膽經
瞳子髎穴,足少陽膽經
瞳子髎穴,手少陽三焦經
上關穴,足少陽膽經
上關穴,手少陽三焦經
上關穴,足陽明胃經
頷厭穴,手少陽三焦經
頷厭穴,足少陽膽經
頷厭穴,足陽明胃經
懸顱穴,手少陽三焦經
懸顱穴,足少陽膽經
懸顱穴,手陽明大腸經
懸顱穴,足陽明胃經
懸釐穴,手少陽三焦經
懸釐穴,足少陽膽經
懸釐穴,手陽明大腸經
懸釐穴,足陽明胃經
曲鬢穴,足太陽膀胱經
曲鬢穴,足少陽膽經
率谷穴,足太陽膀胱經
率谷穴,足少陽膽經
浮白穴,足太陽膀胱經
浮白穴,足少陽膽經
頭竅陰穴,足太陽膀胱經
頭竅陰穴,足少陽膽經
完骨穴,足太陽膀胱經
完骨穴,足少陽膽經
陽白穴,手少陽三焦經
陽白穴,足少陽膽經
陽白穴,手陽明大腸經
陽白穴,足陽明胃經
頭臨泣穴,足太陽膀胱經
頭臨泣穴,足少陽膽經
肩井穴,手少陽三焦經
肩井穴,足少陽膽經
輒筋穴,足太陽膀胱經
輒筋穴,足少陽膽經
日月穴,足太陰脾經
日月穴,足少陽膽經
環跳穴,足太陽膀胱經
環跳穴,足少陽膽經
承漿穴,足陽明胃經
承漿穴,任脈
長強穴,督脈
長強穴,足太陽膀胱經
長強穴,足少陰腎經
大椎穴,督脈
大椎穴,手陽明大腸經
大椎穴,手少陽三焦經
大椎穴,手太陽小腸經
大椎穴,足陽明胃經
大椎穴,足少陽膽經
大椎穴,足太陽膀胱經
風府穴,督脈
風府穴,足太陽膀胱經
水溝穴,督脈
水溝穴,手陽明大腸經
水溝穴,足陽明胃經
齦交穴,任脈
齦交穴,督脈
齦交穴,足陽明胃經
百會穴,督脈
百會穴,手少陽三焦經
百會穴,足少陽膽經
百會穴,足太陽膀胱經
百會穴,足厥陰肝經
神庭穴,督脈
神庭穴,足陽明胃經
神庭穴,足太陽膀胱經
睛明穴,手太陽小腸經
睛明穴,足陽明胃經
瞳子髎穴,手太陽小腸經
上脘穴,任脈
上脘穴,足陽明胃經
上脘穴,手太陽小腸經
中脘穴,任脈
中脘穴,手太陽小腸經
中脘穴,手少陽三焦經
中脘穴,足陽明胃經
關元穴,任脈
關元穴,足太陰脾經
關元穴,足厥陰肝經
關元穴,足少陰腎經
中極穴,任脈
中極穴,足太陰脾經
中極穴,足厥陰肝經
中極穴,足少陰腎經
下脘穴,任脈
下脘穴,足太陰脾經
陶道穴,督脈
陶道穴,足太陽膀胱經
後溪穴,手太陽小腸經
後溪穴,督脈
中府穴,手太陰肺經
中府穴,足太陰脾經
期門穴,足太陰脾經
期門穴,足厥陰肝經
附分穴,手太陽小腸經
附分穴,足太陽膀胱經
耳和髎穴,手少陽三焦經
耳和髎穴,足少陽膽經
耳和髎穴,手太陽小腸經
腦戶穴,督脈
腦戶穴,足太陽膀胱經
肩井穴,足陽明胃經
角孫穴,手少陽三焦經
角孫穴,足少陽膽經
角孫穴,手陽明大腸經
章門穴,足厥陰肝經
章門穴,足少陽膽經
衝門穴,足太陰脾經
衝門穴,足厥陰肝經
曲骨穴,任脈
曲骨穴,足厥陰肝經
會陰穴,任脈
會陰穴,督脈
會陽穴,足太陽膀胱經
會陽穴,督脈
